route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
97_72_3,1,2012,Acacia Ave Rangiora,,1,9574,2204,1,1
130_73_3,1,3680,Avonhead,,1,13073,3321,1,1
Oc_36_3,1,5555,Orbiter via St Martins,,1,89701,4209,1,1
5_14_3,1,3045,New Brighton via City,,0,5704,4320,1,1
8_44_3,1,10257,Airport via Colombo St & City,,1,80702,4331,1,1
97_72_3,1,2002,Pegasus,,0,9576,3380,1,1
3_67_3,1,4467,Airport via University,,1,3705,4203,1,1
29_04_3,1,2522,Airport via Fendalton,,1,2971,2151,1,1
3_67_3,1,4498,Sumner via City,,0,3703,4614,1,1
Oc_36_3,1,5558,Orbiter via St Martins,,1,89701,4209,1,1
27_17_3,1,10719,Northwood via City,,1,27706,4502,1,1
27_17_3,1,10683,Huntsbury via City,,0,27706,4404,1,1
60_66_3,1,3363,Southshore via City,,0,6071,4323,1,1
95_26_3,1,1914,Pegasus,,1,9574,4343,1,1
8_44_3,1,10248,Airport via Colombo St & City,,1,80704,4331,1,1
130_73_3,1,3646,Hei Hei & Hornby,,0,13075,4612,1,1
8_44_3,1,10273,Airport via Colombo St & City,,1,80702,4331,1,1
95_26_3,1,1931,City & Ara Institute,,0,9572,4144,1,1
8_44_3,1,10241,Lyttelton via City & Colombo St,,0,80702,4326,1,1
5_14_3,1,3076,New Brighton via City,,0,5707,4321,1,1
Oa_36_3,1,5064,Orbiter via The Palms,,0,99705,4347,1,1
3_67_3,1,4464,Sheffield Cres via University,,1,3702,4202,1,1
5_14_3,1,3073,New Brighton via City,,0,5712,4320,1,1
7_77_3,1,5528,Halswell via City,,0,7708,4154,1,1
7_77_3,1,5518,Halswell via City,,0,7706,4154,1,1
29_04_3,1,2494,City via Fendalton,,0,2971,2150,1,1
27_17_3,1,10711,Northwood via City,,1,27702,4502,1,1
80_61_3,1,1797,Parklands via City,,0,8074,4337,1,1
29_04_3,1,2515,Airport via Fendalton,,1,2971,2151,1,1
3_67_3,1,4468,Sheffield Cres via University,,1,3706,4202,1,1
97_72_3,1,2011,Acacia Ave Rangiora,,1,9573,2204,1,1
3_67_3,1,4517,Sumner via City,,0,3709,4615,1,1
3_67_3,1,4452,Sheffield Cres via University,,1,3703,4202,1,1
140_00_3,1,2699,Russley & Hornby via Eastgate,,0,1475,4136,1,1
3_67_3,1,4432,Airport via University,,1,3703,4203,1,1
5_14_3,1,3126,Rolleston via City,,1,5713,4319,1,1
Oc_36_3,1,5563,Orbiter via St Martins,,1,89702,4209,1,1
1_62_3,1,1544,Princess Margaret Hospital,,0,1078,4308,1,1
60_66_3,1,3330,Hillmorton & Wigram via City,,1,6074,4324,1,1
8_44_3,1,10219,Lyttelton via City & Colombo St,,0,80707,4326,1,1
27_17_3,1,10690,Huntsbury via City,,0,27703,4404,1,1
7_77_3,1,5535,Halswell via City,,0,7707,4154,1,1
3_67_3,1,4488,Sumner via City,,0,3703,4614,1,1
130_73_3,1,3640,Hei Hei & Hornby,,0,13072,4612,1,1
125_05_3,1,3845,Westlake & Halswell via Hornby,,0,25701,3403,1,1
1_62_3,1,1485,Belfast via City,,1,1075,4302,1,1
60_66_3,1,3332,Hillmorton & Wigram via City,,1,6075,4324,1,1
130_73_3,1,3669,Avonhead,,1,13074,3321,1,1
3_67_3,1,4513,Sumner via City,,0,3705,4615,1,1
Oc_36_3,1,5198,Orbiter via St Martins,,1,89701,4209,1,1
3_67_3,1,4510,Sumner via City,,0,3702,4614,1,1
80_61_3,1,1813,Lincoln via City,,1,8073,4339,1,1
100_36_3,1,4944,Halswell,,1,10076,4605,1,1
3_67_3,1,4472,Airport via University,,1,3710,4203,1,1
44_01_3,1,3481,Shirley & Dallington,,1,4472,4317,1,1
60_66_3,1,3354,Southshore via City,,0,6077,4323,1,1
140_00_3,1,2702,Russley & Hornby via Eastgate,,0,1477,4136,1,1
1_62_3,1,1509,Belfast via City,,1,1073,4302,1,1
8_44_3,1,10244,Lyttelton via City & Colombo St,,0,80703,4326,1,1
7_77_3,1,5499,Queenspark via City,,1,7707,4153,1,1
1_62_3,1,1508,Rangiora via City,,1,1072,4303,1,1
80_61_3,1,1796,Parklands via City,,0,8073,4337,1,1
29_04_3,1,2506,City via Fendalton,,0,2971,2150,1,1
60_66_3,1,3329,Hillmorton & Wigram via City,,1,6072,4324,1,1
100_36_3,1,4953,Halswell,,1,10075,4605,1,1
80_61_3,1,1801,Parklands via City,,0,8075,4337,1,1
130_73_3,1,3639,Hei Hei & Hornby,,0,13071,4612,1,1
29_04_3,1,2511,City via Fendalton,,0,2972,2150,1,1
Oa_36_3,1,5627,Orbiter via The Palms,,0,99701,4347,1,1
29_04_3,1,2536,Airport via Fendalton,,1,2971,2151,1,1
3_67_3,1,4490,Sumner via City,,0,3708,4614,1,1
1_62_3,1,1547,Princess Margaret Hospital & Cashmere,,0,1083,2108,1,1
5_14_3,1,3115,Hornby via City,,1,5701,4318,1,1
44_01_3,1,3470,Westmorland via City,,0,4471,3344,1,1
29_04_3,1,2509,City via Fendalton,,0,2972,2150,1,1
100_36_3,1,4941,Halswell,,1,10074,4605,1,1
7_77_3,1,5492,Queenspark via City,,1,7708,4153,1,1
27_17_3,1,10704,Northwood via City,,1,27703,4502,1,1
8_44_3,1,10232,Lyttelton via City & Colombo St,,0,80706,4326,1,1
107_71_3,1,7416,Styx Mill & Supa Centa,,1,10771,4309,1,1
27_17_3,1,10664,Huntsbury via City,,0,27701,4404,1,1
820_74_3,1,3972,Burnham,,1,82072,3365,1,1
3_67_3,1,4514,Sumner via City,,0,3706,4614,1,1
3_67_3,1,4497,Sumner via City,,0,3702,4615,1,1
820_74_3,1,3978,Lincoln,,0,82071,4340,1,1
125_05_3,1,3869,Redwood via Hornby,,1,25703,4310,1,1
120_42_3,1,4111,Spreydon & Barrington,,0,12072,4611,1,1
3_67_3,1,4457,Airport via University,,1,3708,4203,1,1
8_44_3,1,10227,Lyttelton & Rapaki via City & Colombo St,,0,80705,4617,1,1
130_73_3,1,3679,Avonhead,,1,13074,3321,1,1
1_62_3,1,1512,Rangiora via City,,1,1083,4303,1,1
120_42_3,1,4088,Burnside,,1,12071,4602,1,1
Oc_36_3,1,5564,Orbiter via St Martins,,1,89701,4209,1,1
8_44_3,1,10238,Lyttelton via City & Colombo St,,0,80708,4326,1,1
130_73_3,1,3681,Avonhead,,1,13071,3321,1,1
Oa_36_3,1,5628,Orbiter via The Palms,,0,99703,4347,1,1
100_36_3,1,4992,The Palms,,0,10073,4603,1,1
5_14_3,1,3060,New Brighton via City,,0,5703,4321,1,1
5_14_3,1,3085,New Brighton via City,,0,5713,4321,1,1
125_05_3,1,3860,Westlake & Halswell via Hornby,,0,25701,3403,1,1
8_44_3,1,10218,Lyttelton & Rapaki via City & Colombo St,,0,80702,4617,1,1
7_77_3,1,5520,Halswell via City,,0,7708,4154,1,1
27_17_3,1,10707,Northwood via City,,1,27706,4502,1,1
27_17_3,1,10724,Northwood via City,,1,27706,4502,1,1
27_17_3,1,10691,Huntsbury via City,,0,27702,4404,1,1
1_62_3,1,1550,Princess Margaret Hospital,,0,1075,2110,1,1
95_26_3,1,1929,City & Ara Institute,,0,9576,4144,1,1
130_73_3,1,3633,Hei Hei & Hornby,,0,13073,4612,1,1
27_17_3,1,10715,Northwood via City,,1,27704,4502,1,1
5_14_3,1,3089,New Brighton via City,,0,5704,4321,1,1
1_62_3,1,1515,Rangiora via City,,1,1084,4305,1,1
Oc_36_3,1,5211,Orbiter via St Martins,,1,89706,4209,1,1
8_44_3,1,10213,Lyttelton via City & Colombo St,,0,80707,4326,1,1
3_67_3,1,4489,Sumner via City,,0,3705,4614,1,1
130_73_3,1,3648,Hei Hei & Hornby,,0,13073,4612,1,1
1_62_3,1,1522,Belfast via City,,1,1075,4402,1,1
29_04_3,1,2537,Airport via Fendalton,,1,2972,2151,1,1
3_67_3,1,4454,Sheffield Cres via University,,1,3705,4202,1,1
140_00_3,1,2687,Mt Pleasant via Eastgate,,1,1472,4012,1,1
1_62_3,1,1530,Princess Margaret Hospital & Cashmere,,0,1071,2108,1,1
F_94_4,1,7089,Lyttelton,,0,7777,2206,1,1
1_62_3,1,1543,Princess Margaret Hospital & Cashmere,,0,1081,2108,1,1
1_62_3,1,1565,Princess Margaret Hospital & Cashmere,,0,1071,2108,1,1
29_04_3,1,2521,Airport via Fendalton,,1,2972,2151,1,1
7_77_3,1,5517,Halswell via City,,0,7703,4154,1,1
820_74_3,1,3971,Burnham,,1,82071,3365,1,1
F_94_4,1,7105,Diamond Harbour,,1,7777,2207,1,1
80_61_3,1,1817,Lincoln via City,,1,8075,4339,1,1
100_36_3,1,4966,The Palms,,0,10075,4603,1,1
F_94_4,1,7108,Diamond Harbour,,1,7777,2207,1,1
5_14_3,1,3132,Rolleston via City,,1,5705,4319,1,1
3_67_3,1,4456,Sheffield Cres via University,,1,3707,4202,1,1
1_62_3,1,1529,Princess Margaret Hospital,,0,1074,2110,1,1
27_17_3,1,10678,Huntsbury via City,,0,27705,4404,1,1
97_72_3,1,1996,Pegasus,,0,9575,3380,1,1
100_36_3,1,4982,The Palms,,0,10074,4603,1,1
5_14_3,1,3087,New Brighton via City,,0,5708,4321,1,1
Oa_36_3,1,5072,Orbiter via The Palms,,0,99704,4347,1,1
Oa_36_3,1,5071,Orbiter via The Palms,,0,99706,4347,1,1
27_17_3,1,10727,Northwood via City,,1,27702,4502,1,1
5_14_3,1,3049,New Brighton via City,,0,5702,4321,1,1
Oa_36_3,1,5611,Orbiter via The Palms,,0,99705,4347,1,1
8_44_3,1,10222,Lyttelton via City & Colombo St,,0,80704,4326,1,1
130_73_3,1,3689,Avonhead,,1,13075,3321,1,1
3_67_3,1,4434,Airport via University,,1,3710,4203,1,1
60_66_3,1,3356,Southshore via City,,0,6076,4323,1,1
130_73_3,1,3647,Hei Hei & Hornby,,0,13074,4612,1,1
8_44_3,1,10271,Airport via Colombo St & City,,1,80703,4331,1,1
80_61_3,1,1831,Lincoln via City,,1,8075,4339,1,1
5_14_3,1,3109,Rolleston via City,,1,5708,4319,1,1
1_62_3,1,1532,Princess Margaret Hospital & Cashmere,,0,1075,2108,1,1
107_71_3,1,7414,Styx Mill & Supa Centa,,1,10771,4309,1,1
1_62_3,1,1561,Princess Margaret Hospital,,0,1075,2110,1,1
7_77_3,1,5537,Halswell via City,,0,7703,4154,1,1
3_67_3,1,4531,Sumner via City,,0,3701,4614,1,1
95_26_3,1,1913,Pegasus,,1,9573,4343,1,1
60_66_3,1,3328,Hillmorton & Wigram via City,,1,6071,4324,1,1
140_00_3,1,2698,Mt Pleasant via Eastgate,,1,1475,4012,1,1
1_62_3,1,1552,Princess Margaret Hospital,,0,1072,4308,1,1
Oc_36_3,1,5559,Orbiter via St Martins,,1,89703,4209,1,1
130_73_3,1,3686,Avonhead,,1,13072,3321,1,1
1_62_3,1,1572,Princess Margaret Hospital,,0,1071,4308,1,1
120_42_3,1,4101,Spreydon & Barrington,,0,12072,4611,1,1
97_72_3,1,2001,Pegasus,,0,9574,3380,1,1
140_00_3,1,2677,Mt Pleasant via Eastgate,,1,1475,4012,1,1
130_73_3,1,3658,Hei Hei & Hornby,,0,13075,4612,1,1
97_72_3,1,1997,Pegasus,,0,9576,3380,1,1
29_04_3,1,2527,Airport via Fendalton,,1,2972,2151,1,1
29_04_3,1,2513,Airport via Fendalton,,1,2971,2151,1,1
5_14_3,1,3101,Rolleston via City,,1,5704,4319,1,1
27_17_3,1,10713,Northwood via City,,1,27706,4502,1,1
3_67_3,1,4507,Sumner via City,,0,3712,4615,1,1
100_36_3,1,4988,The Palms,,0,10075,4603,1,1
7_77_3,1,5478,Queenspark via City,,1,7704,4153,1,1
27_17_3,1,10693,Huntsbury via City,,0,27706,4404,1,1
